epoch,accuracy,loss,val_accuracy,val_loss
0,0.3519900441169739,3.0302038192749023,0.6914682388305664,1.2939584255218506
1,0.5779850482940674,1.7536370754241943,0.7519841194152832,1.0392606258392334
2,0.6322139501571655,1.5140854120254517,0.7678571343421936,0.9462560415267944
3,0.6674129366874695,1.3711779117584229,0.786210298538208,0.8827910423278809
4,0.6804104447364807,1.3140305280685425,0.8040674328804016,0.8300198316574097
5,0.6919776201248169,1.264216661453247,0.793154776096344,0.8604989647865295
6,0.6955223679542542,1.2451900243759155,0.7991071343421936,0.8500609993934631
7,0.7036069631576538,1.2164291143417358,0.8070436716079712,0.8061985969543457
8,0.7085198760032654,1.1823948621749878,0.8120039701461792,0.817335307598114
9,0.7212686538696289,1.1651743650436401,0.8134920597076416,0.8238110542297363
10,0.725870668888092,1.142809510231018,0.8214285969734192,0.7849342823028564
11,0.7250000238418579,1.1664248704910278,0.819940447807312,0.8254430890083313
12,0.7322761416435242,1.139286756515503,0.8224206566810608,0.8054612278938293
13,0.7318407893180847,1.1131874322891235,0.8338293433189392,0.7960459589958191
14,0.7356964945793152,1.1124011278152466,0.8323412537574768,0.7847088575363159
15,0.733582079410553,1.123420238494873,0.8338293433189392,0.7619603872299194
16,0.737126886844635,1.1138931512832642,0.8358134627342224,0.7548345923423767
17,0.7392413020133972,1.1301300525665283,0.836309552192688,0.7698053121566772
18,0.7442164421081543,1.1198015213012695,0.8377976417541504,0.7682433128356934
19,0.7473880648612976,1.0998177528381348,0.824404776096344,0.8227270841598511
0,0.39427860696517414,3.107021360729464,0.6122448979591837,2.1750046512628445
1,0.6637437810945274,1.6976041009770104,0.6918865107018417,1.566083187484931
2,0.7242537313432836,1.292375709969013,0.7426580388252862,1.3199746466917206
3,0.7542910447761194,1.0841065049467988,0.7600796416127427,1.1535873369176095
4,0.7726990049751243,0.9773754697978793,0.7849676455948233,0.9857172788583918
5,0.7912935323383085,0.8685885345683763,0.7914385266301642,0.9093524257955176
0,0.70197151564152,1.321453016429956,0.9174129353233831,0.26307493301469886
1,0.930903663163132,0.2500886164145256,0.9552238805970149,0.15570631589536643
2,0.9522980284843585,0.16555190166342992,0.954228855721393,0.17024698328523347
3,0.9610050376267181,0.13450447510263205,0.9582089552238806,0.16452173912406562
4,0.9657316997325704,0.11660587756894934,0.9601990049751243,0.13396894707256438
5,0.9723241495117856,0.0925276767108243,0.9388059701492537,0.20094659454907424
6,0.9745009017973755,0.0900790635436429,0.954228855721393,0.15965634631525855
7,0.9763666894707382,0.08332049273654679,0.9597014925373134,0.15202567851847382
